player_sk,player_id,player_name,dob,batting_hand,bowling_skill,country_name,dob_cleaned
135,136,A Mishra,,Right-hand Bat,Legbreak,India,
136,137,Ad Mascarenhas,,Right-hand Bat,Right-arm Fast-medium,England,
137,138,Nk Patel,,Left-hand Bat,N/a,India,
138,139,La Pomersbach,,Left-hand Bat,Right-arm Offbreak,Australia,
139,140,Iqbal Abdulla,,Left-hand Bat,Slow Left-arm Orthodox,India,
140,141,Younis Khan,,Right-hand Bat,Right-arm Medium,Pakistan,
141,142,Pm Sarvesh Kumar,,Right-hand Bat,Right-arm Medium,India,
142,143,Dp Vijaykumar,,Right-hand Bat,Right-arm Medium,India,
143,144,Shoaib Akhtar,,Right-hand Bat,Right-arm Fast,Pakistan,
144,145,Abdur Razzak,,Left-hand Bat,Slow Left-arm Orthodox,Bangladesh,
145,146,H Das,,Right-hand Bat,N/a,India,
146,147,Dr Smith,,Right-hand Bat,Right-arm Medium,West Indies,
147,148,Sd Chitnis,,Right-hand Bat,Right-arm Offbreak,India,
148,149,Crd Fernando,,Right-hand Bat,Right-arm Fast-medium,Sri Lanka,
149,150,Vs Yeligati,,Right-hand Bat,Right-arm Offbreak,India,
150,151,L Balaji,,Right-hand Bat,Right-arm Medium-fast,India,
151,152,A Mukund,,Left-hand Bat,Legbreak Googly,India,
152,153,Rr Powar,,Right-hand Bat,Right-arm Offbreak,India,
153,154,Jp Duminy,,Left-hand Bat,Right-arm Offbreak,South Africa,
154,155,A Flintoff,,Right-hand Bat,Right-arm Fast-medium,England,
155,156,T Thushara,,Left-hand Bat,Left-arm Fast-medium,Sri Lanka,
156,157,Jd Ryder,,Left-hand Bat,Right-arm Medium,New Zealand,
157,158,Kp Pietersen,,Right-hand Bat,Right-arm Offbreak,South Africa,
158,159,T Henderson,,Right-hand Bat,Right-arm Fast-medium,South Africa,
159,160,Kamran Khan,,Left-hand Bat,Left-arm Medium-fast,India,
160,161,Rs Bopara,,Right-hand Bat,Right-arm Medium,England,
161,162,Ch Gayle,,Left-hand Bat,Right-arm Offbreak,West Indies,
162,163,Mc Henriques,,Right-hand Bat,Right-arm Fast-medium,Australia,
163,164,R Bishnoi,,Right-hand Bat,Right-arm Medium-fast,India,
164,165,Fh Edwards,,Right-hand Bat,Right-arm Fast,West Indies,
165,166,Kv Sharma,,Left-hand Bat,Legbreak Googly,India,
166,167,Pc Valthaty,,Right-hand Bat,Right-arm Medium,India,
167,168,Rj Quiney,,Left-hand Bat,Right-arm Medium,Australia,
168,169,As Raut,,Right-hand Bat,Legbreak Googly,India,
169,170,Yashpal Singh,,Right-hand Bat,Right-arm Medium,India,
170,171,M Manhas,,Right-hand Bat,Right-arm Offbreak,India,
171,172,Aa Bilakhia,,Right-hand Bat,Right-arm Medium,India,
172,173,An Ghosh,,Right-hand Bat,Right-arm Medium,India,
173,174,Baw Mendis,,Right-hand Bat,Right-arm Offbreak,Sri Lanka,
174,175,Dl Vettori,,Left-hand Bat,Slow Left-arm Orthodox,New Zealand,
175,176,Mn Van Wyk,,Right-hand Bat,Slow Left-arm Orthodox,South Africa,
176,177,Re Van Der Merwe,,Right-hand Bat,Slow Left-arm Orthodox,South Africa,
177,178,Tl Suman,,Right-hand Bat,Right-arm Offbreak,India,
178,179,Shoaib Ahmed,,Right-hand Bat,Right-arm Fast-medium,Pakistan,
179,180,Gr Napier,,Right-hand Bat,Right-arm Medium,England,
180,181,Kp Appanna,,Right-hand Bat,Slow Left-arm Orthodox,India,
181,182,La Carseldine,,Left-hand Bat,Left-arm Medium,Australia,
182,183,Nv Ojha,,Right-hand Bat,N/a,India,
183,184,Sm Harwood,,Right-hand Bat,Right-arm Fast-medium,Australia,
184,185,M Vijay,,Right-hand Bat,Right-arm Offbreak,India,
185,186,Sb Jakati,,Left-hand Bat,Slow Left-arm Orthodox,India,
186,187,Da Warner,,Left-hand Bat,Legbreak,Australia,
187,188,Rj Harris,,Right-hand Bat,Right-arm Fast,Australia,
188,189,D Du Preez,,Right-hand Bat,Right-arm Fast-medium,South Africa,
189,190,M Morkel,,Left-hand Bat,Right-arm Fast,South Africa,
190,191,Ad Mathews,,Right-hand Bat,Right-arm Fast-medium,Sri Lanka,
191,192,J Botha,,Right-hand Bat,Right-arm Offbreak,South Africa,
192,193,C Nanda,,Right-hand Bat,Legbreak,India,
193,194,Sl Malinga,,Right-hand Bat,Right-arm Fast,Sri Lanka,
194,195,Mashrafe Mortaza,,Right-hand Bat,Right-arm Fast-medium,Bangladesh,
195,196,A Singh,,Right-hand Bat,Right-arm Medium-fast,India,
196,197,Gj Bailey,,Right-hand Bat,Right-arm Medium,Australia,
197,198,Ab Mcdonald,,Right-hand Bat,Right-arm Fast-medium,Australia,
198,199,Y Nagar,,Right-hand Bat,Right-arm Offbreak,India,
199,200,Ss Shaikh,,Right-hand Bat,Right-arm Medium,India,
200,201,R Ashwin,,Right-hand Bat,Right-arm Offbreak,India,
201,202,Mohammad Ashraful,,Right-hand Bat,Right-arm Offbreak,Bangladesh,
202,203,Ca Pujara,,Right-hand Bat,Legbreak,India,
203,204,Oa Shah,,Right-hand Bat,Right-arm Offbreak,England,
204,205,Anirudh Singh,,Left-hand Bat,Right-arm Medium,India,
205,206,Jaskaran Singh,,Right-hand Bat,Right-arm Medium,India,
206,207,Ap Tare,,Right-hand Bat,N/a,India,
207,208,At Rayudu,,Right-hand Bat,Right-arm Offbreak,India,
208,209,R Sathish,,Right-hand Bat,Right-arm Medium,India,
209,210,R Mclaren,,Left-hand Bat,Right-arm Medium-fast,South Africa,
210,211,Aa Jhunjhunwala,,Right-hand Bat,Right-arm Offbreak,India,
211,212,P Dogra,,Right-hand Bat,Legbreak,India,
212,213,A Uniyal,,Left-hand Bat,Left-arm Medium,India,
213,214,Ms Bisla,,Right-hand Bat,N/a,India,
214,215,Ya Abdulla,,Left-hand Bat,Left-arm Fast-medium,India,
215,216,Ejg Morgan,,Left-hand Bat,Right-arm Medium,England,
216,217,Jm Kemp,,Right-hand Bat,Right-arm Fast-medium,South Africa,
217,218,S Tyagi,,Right-hand Bat,Right-arm Medium,India,
218,219,Rs Gavaskar,,Left-hand Bat,Slow Left-arm Orthodox,India,
219,220,Se Bond,,Right-hand Bat,Right-arm Fast,New Zealand,
220,221,Ka Pollard,,Right-hand Bat,Right-arm Medium-fast,West Indies,
221,222,S Ladda,,Right-hand Bat,Legbreak,India,
222,223,Dp Nannes,,Right-hand Bat,Left-arm Fast,Australia,
223,224,Mj Lumb,,Left-hand Bat,Right-arm Medium,England,
224,225,Dr Martyn,,Right-hand Bat,Right-arm Medium,Australia,
225,226,S Narwal,,Left-hand Bat,Right-arm Medium,India,
226,227,Ab Barath,,Right-hand Bat,Right-arm Offbreak,India,
227,228,Bipul Sharma,,Left-hand Bat,Slow Left-arm Orthodox,India,
228,229,Fy Fazal,,Left-hand Bat,Right-arm Medium,India,
229,230,Ac Voges,,Right-hand Bat,Slow Left-arm Orthodox,Australia,
230,231,Md Mishra,,Right-hand Bat,Right-arm Offbreak,India,
231,232,Ut Yadav,,Right-hand Bat,Right-arm Fast-medium,India,
232,233,J Theron,,Right-hand Bat,Right-arm Medium-fast,South Africa,
233,234,Sj Srivastava,,Right-hand Bat,Left-arm Fast-medium,India,
234,235,R Sharma,,Right-hand Bat,Right-arm Offbreak,India,
235,236,Mandeep Singh,,Right-hand Bat,Right-arm Medium,India,
236,237,Km Jadhav,,Right-hand Bat,Right-arm Offbreak,India,
237,238,Sw Tait,,Right-hand Bat,Right-arm Fast,Australia,
238,239,Kb Arun Karthik,,Right-hand Bat,Legbreak Googly,India,
239,240,Kaj Roach,,Right-hand Bat,Right-arm Fast,West Indies,
240,241,Pd Collingwood,,Right-hand Bat,Right-arm Medium,England,
241,242,Ck Langeveldt,,Right-hand Bat,Right-arm Fast-medium,England,
242,243,Vs Malik,,Right-hand Bat,Right-arm Medium,India,
243,244,A Mithun,,Right-hand Bat,Right-arm Medium,India,
244,245,Ap Dole,,Right-hand Bat,Right-arm Medium-fast,India,
245,246,An Ahmed,,Right-hand Bat,Right-arm Medium-fast,India,
246,247,Rs Sodhi,,Right-hand Bat,Right-arm Medium,India,
247,248,De Bollinger,,Left-hand Bat,Left-arm Fast-medium,Australia,
248,249,S Sriram,,Left-hand Bat,Slow Left-arm Orthodox,India,
249,250,B Sumanth,,Right-hand Bat,Right-arm Medium-fast,India,
250,251,C Madan,,Right-hand Bat,N/a,India,
251,252,Ag Paunikar,,Right-hand Bat,N/a,India,
252,253,Mr Marsh,,Right-hand Bat,Right-arm Medium,Australia,
253,254,Aj Finch,,Right-hand Bat,Slow Left-arm Orthodox,Australia,
254,255,Str Binny,,Right-hand Bat,Right-arm Medium,India,
255,256,Harmeet Singh,,Left-hand Bat,Slow Left-arm Orthodox,India,
256,257,Ir Jaggi,,Right-hand Bat,Legbreak Googly,India,
257,258,Dt Christian,,Right-hand Bat,Right-arm Fast-medium,Australia,
258,259,Rv Gomez,,Right-hand Bat,Right-arm Medium,India,
259,260,Ma Agarwal,,Right-hand Bat,N/a,India,
260,261,Auk Pathan,,Right-hand Bat,Right-arm Medium,India,
261,262,Ubt Chand,,Right-hand Bat,Right-arm Offbreak,India,
262,263,Dj Jacobs,,Right-hand Bat,Right-arm Medium,South Africa,
263,264,Sunny Singh,,Right-hand Bat,Right-arm Medium-fast,India,
264,265,Nj Rimmington,,Right-hand Bat,Right-arm Fast-medium,Australia,
265,266,Al Menaria,,Left-hand Bat,Slow Left-arm Orthodox,India,
266,267,Wd Parnell,,Left-hand Bat,Left-arm Medium-fast,South Africa,
